"condition","age_band","sex","prevalence","ci_lower","ci_upper"
"heart_attack","70-74","Male",0.139674891145056,0.0983288422369651,0.181020940053147
"heart_attack","75-79","Male",0.155223164901094,0.105031933316113,0.205414396486074
"heart_attack","80+","Male",0.167703016039989,0.128207584277824,0.207198447802154
"heart_attack","18-24","Both",0.00116415323029592,-0.000616819301777457,0.00294512576236929
"heart_attack","25-29","Both",0.0024265139373671,-0.00227237149635458,0.00712539937108878
"heart_attack","30-34","Both",0.00283390529113029,4.64203481856003e-05,0.00562139023407498
"heart_attack","35-39","Both",0.00906159870574558,0.00463433098309103,0.0134888664284001
"heart_attack","40-44","Both",0.0109658715842814,0.00527565930942527,0.0166560838591376
"heart_attack","45-49","Both",0.00492011554124421,0.00251003576493714,0.00733019531755127
"heart_attack","50-54","Both",0.0269498184734552,0.0151064213896117,0.0387932155572986
"heart_attack","55-59","Both",0.0510606640994535,0.0345657926688607,0.0675555355300463
"heart_attack","60-64","Both",0.0666523508660543,0.0470631510725599,0.0862415506595487
"heart_attack","65-69","Both",0.0684411352318957,0.0521293041716955,0.0847529662920958
"heart_attack","70-74","Both",0.0829603258011469,0.0606044041014787,0.105316247500815
"heart_attack","75-79","Both",0.108551056034525,0.0802925412804052,0.136809570788646
"heart_attack","80+","Both",0.120319207704169,0.100983831389668,0.139654584018669
"stroke","18-24","Female",0.000384705718012502,-0.000381487141223618,0.00115089857724862
"stroke","25-29","Female",0.00353442186325678,-0.00085834708623604,0.00792719081274961
"stroke","30-34","Female",0.00582890764786639,-0.00177612133050751,0.0134339366262403
"stroke","35-39","Female",0.00494179132800574,-0.000229815432257735,0.0101133980882692
"stroke","40-44","Female",0.00918250046766645,0.00317056038642515,0.0151944405489078
"stroke","45-49","Female",0.0206914974449498,0.00676199124724295,0.0346210036426566
"stroke","50-54","Female",0.0413228607871357,0.0198521200808433,0.0627936014934282
"stroke","55-59","Female",0.0421492460858208,0.0252963002551312,0.0590021919165104
"stroke","60-64","Female",0.03910307659244,0.0275770864358287,0.0506290667490513
"stroke","65-69","Female",0.0433798970121932,0.0283050969052615,0.058454697119125
"stroke","70-74","Female",0.082801133151226,0.0571338726087665,0.108468393693685
"stroke","75-79","Female",0.0664182511307474,0.0411427961068196,0.0916937061546753
"stroke","80+","Female",0.125964160011691,0.0907776545047939,0.161150665518587
"stroke","18-24","Male",0.00239026305528808,-0.00125556974191,0.00603609585248615
"stroke","25-29","Male",0,0,0
"stroke","30-34","Male",0.00578044433220571,0.000864292906996612,0.0106965957574148
"stroke","35-39","Male",0.00623926785346142,-0.00225793131114395,0.0147364670180668
"stroke","40-44","Male",0.0109016797546331,0.000966289597371153,0.0208370699118951
"stroke","45-49","Male",0.0234475372880985,0.00869772822030843,0.0381973463558886
"stroke","50-54","Male",0.0350861409527759,0.0159041892162147,0.0542680926893371
"stroke","55-59","Male",0.0286177736150464,0.0175608844534483,0.0396746627766445
"stroke","60-64","Male",0.0545753824076147,0.0360814269538115,0.073069337861418
"stroke","65-69","Male",0.0802147468065218,0.0538105490283524,0.106618944584691
"stroke","70-74","Male",0.0678434896647167,0.0467011423969039,0.0889858369325295
"stroke","75-79","Male",0.118000154423952,0.076536316110661,0.159463992737244
"stroke","80+","Male",0.11957904821221,0.0906868584601365,0.148471237964283
"stroke","18-24","Both",0.00139906518451056,-0.000505301750939427,0.00330343211996054
"stroke","25-29","Both",0.00178575528055751,-0.000414361658752708,0.00398587221986772
"stroke","30-34","Both",0.0058043019411185,0.00131745057478744,0.0102911533074496
"stroke","35-39","Both",0.0055625479845321,0.000635246534685646,0.0104898494343786
"stroke","40-44","Both",0.0100229690077486,0.00408142913377584,0.0159645088817215
"stroke","45-49","Both",0.0220476497053848,0.010690713422858,0.0334045859879116
"stroke","50-54","Both",0.038427794946454,0.0244071169970267,0.0524484728958813
"stroke","55-59","Both",0.0352961982078623,0.0257300704132474,0.0448623260024772
"stroke","60-64","Both",0.0465907523623462,0.0345327971990941,0.0586487075255983
"stroke","65-69","Both",0.0605372555736353,0.0473077875478658,0.0737667235994049
"stroke","70-74","Both",0.0757806670300923,0.0602461218685345,0.09131521219165
"stroke","75-79","Both",0.0883303845601411,0.0620848879247237,0.114575881195558
"stroke","80+","Both",0.123404359008819,0.0981630151091628,0.148645702908475
"liver","18-24","Female",0.00441359393488953,-0.0010842052801272,0.00991139314990625
"liver","25-29","Female",0.0226596280283673,0.00735983505833708,0.0379594209983976
