age_years,External,Cardiovascular,Cancer,Neurological,Other,Infectious,Chronic respiratory,Diabetes & kidney disease,Digestive
65,0.07174904942965779,0.2753802281368821,0.3031368821292776,0.04313688212927757,0.058783269961977185,0.04652091254752852,0.07564638783269961,0.06644486692015208,0.05920152091254753
66,0.06401930193745012,0.27594151367825265,0.3065815252884406,0.045823960525361,0.05888542195776794,0.04693055656338437,0.08020100137870982,0.06586967564037442,0.055747043030259055
67,0.061149409479275905,0.27892863896577214,0.3037012841891729,0.051109697605253655,0.05626708384190892,0.04782616170124981,0.08085062490329901,0.06560195293025495,0.054565146383812685
68,0.0556144335099672,0.27625536209941964,0.30465135839851964,0.05458827487593574,0.056606947598620574,0.04942383716040037,0.0840104298090672,0.06723862393809403,0.05161073260997561
69,0.050745636884605365,0.2797929148215681,0.30382261005470174,0.06072544933576452,0.054864548059390464,0.04706629330554832,0.08548775722844491,0.06852370408960667,0.048971086220369886
70,0.047286010896545265,0.28017234650389494,0.29860905131367377,0.06775215823407278,0.052874783396037905,0.04759823282389122,0.08835880543890598,0.06845465757060118,0.04889395382237695
71,0.04404547809918615,0.28103758344255797,0.29362636022800015,0.0738866705276313,0.054287194805986524,0.04715457067089341,0.08976742768311641,0.06791233578199775,0.04828237876063035
72,0.04090627671806362,0.28320410389457235,0.2915475102449954,0.08271175447389369,0.0514018691588785,0.04709749697809487,0.09005277278221646,0.06646717179162122,0.04661104395766385
73,0.04048500983910175,0.27969093645097814,0.2854786433615002,0.09033163560597292,0.05181444611644866,0.048052436624609327,0.09044738974418336,0.06909075124435698,0.04460875101284871
74,0.037917737789203085,0.2846345143623561,0.2769503744271823,0.09763049066726277,0.05078517938973958,0.04769755225215156,0.09313177601430647,0.07033083715211803,0.04092153794568012
75,0.03768525422176876,0.2806184515166974,0.27360724142892645,0.1067509058326466,0.04965401771115384,0.048816858297688656,0.09308166228466036,0.06905257099504244,0.040733037711415454
76,0.03653035026590867,0.2848462619964546,0.2640625955131732,0.11777003484320557,0.04925728956537686,0.047619047619047616,0.09232838193043584,0.06856164802249526,0.03902439024390244
77,0.03675806305899359,0.28898274460204176,0.25615457584244283,0.12588083837745054,0.04964314752913542,0.047068389195049236,0.09078281687595989,0.06588219351341584,0.038847231005510886
78,0.03615681766537901,0.28762380869634957,0.247951559220991,0.13531070803202652,0.0471709462259233,0.04799967920013901,0.0921764933901862,0.06704717094622592,0.03856281662277947
79,0.03710185052172437,0.29153879304715763,0.23708095542815352,0.14392801640264846,0.04700090110091024,0.0482023689812336,0.09482454651117235,0.06581954474814883,0.03450302325885103
80,0.036452685827069044,0.2928520084309019,0.2270251830553491,0.1549604649179449,0.047539565540515846,0.04850205290025463,0.09395825972538652,0.06443791956529685,0.03427186003728116
81,0.03578994563694446,0.2999719778064227,0.22008630835621812,0.16404192120159167,0.04533990920809281,0.04816454632068598,0.09127388892002467,0.06251190943227036,0.032819593117749256
82,0.035697264321799635,0.3031527023162711,0.20925078638833286,0.17225478981984557,0.04791011343055953,0.04857735201601373,0.08942188542560289,0.062077018396721,0.031658087884853685
83,0.034852114336779656,0.30676811180478847,0.20128088967220642,0.18088843103426877,0.047450011791135546,0.04826918541870943,0.0867082873065323,0.06224478397398503,0.03153818466159441
84,0.0345183471978712,0.3163601546859651,0.19027368473408687,0.18827172007311524,0.046020318076124396,0.04860670720334241,0.08390843187724599,0.06178734410166499,0.030253292050583802
