age_years,External,Cardiovascular,Cancer,Neurological,Other,Infectious,Diabetes & kidney disease,Chronic respiratory,Digestive
22,0.8080056677293659,0.036131774707757705,0.0375487070492384,0.03506907545164718,0.04640453418349274,0.010981225646475381,0.00991852639036486,0.00991852639036486,0.0060219624512929506
23,0.8017741385192767,0.03514158990105766,0.03650631183896281,0.03343568747867622,0.05049471170249062,0.010917775503241215,0.011258955987717503,0.009553053565336063,0.010917775503241215
24,0.7887765772046009,0.039735099337748346,0.03799233182293482,0.029627047751829907,0.052980132450331126,0.015684907633321716,0.011153712094806553,0.010805158591843849,0.013245033112582781
25,0.7553956834532374,0.051667756703727925,0.04218443427076521,0.028449967298888164,0.0618051013734467,0.01765860039241334,0.014388489208633094,0.013734466971877043,0.014715500327011119
26,0.755973715651135,0.0528673835125448,0.04121863799283154,0.02867383512544803,0.05436081242532855,0.02090800477897252,0.017025089605734768,0.008064516129032258,0.02090800477897252
27,0.7442200760901375,0.05677494878548434,0.03833772314896108,0.027216856892010536,0.05940883816213052,0.01990049751243781,0.016388645010242904,0.009950248756218905,0.027802165642376354
28,0.737211916807195,0.06211354693648117,0.042439572793704326,0.024451939291736932,0.055930297920179874,0.021641371557054524,0.016020236087689713,0.012085441259134345,0.028105677346824058
29,0.7226449750721595,0.0669115717659407,0.03857255313565993,0.02309105221726581,0.06271319863552874,0.02676462870637628,0.020991865652059828,0.007871949619522435,0.030438205195486748
30,0.7010973282442748,0.06607824427480916,0.04174618320610687,0.025286259541984733,0.06440839694656489,0.03101145038167939,0.0245706106870229,0.008110687022900763,0.03769083969465649
31,0.6859783588818755,0.07732191163210099,0.049368800721370606,0.020739404869251576,0.0705590622182146,0.024346257889990983,0.022317403065825067,0.011045987376014428,0.03832281334535618
32,0.661630134071079,0.074271121515216,0.04873377314322196,0.024473292189827623,0.07533517769738242,0.025111725899127475,0.02489891466269419,0.013619919131730156,0.051925941689721214
33,0.6482236458940012,0.0858085808580858,0.0502814987381091,0.019996117258784703,0.079596194913609,0.029508833236264805,0.024072995534847604,0.0091244418559503,0.053387691710347504
34,0.6254410399257196,0.10770659238625813,0.048467966573816156,0.018570102135561744,0.08096564531104922,0.03119777158774373,0.027483751160631384,0.009842154131847726,0.05032497678737233
35,0.6218941303564999,0.10334893770255671,0.05527547713359741,0.017104789341015485,0.07436082102988836,0.03312927619733525,0.030788620813827872,0.010082823190493338,0.05401512423478574
36,0.5971997845988153,0.11452162986896428,0.059594327768802725,0.021719619457907017,0.078082929456112,0.03320768264225453,0.028540656973613354,0.010231556273559504,0.05690181295997128
37,0.583347669017719,0.12093583347669018,0.07173576466540513,0.019611216239463273,0.0765525546189575,0.03234130397385171,0.02993290899707552,0.009289523481851024,0.056253225528986754
38,0.5565785068630733,0.13056578506863073,0.06327418814864412,0.020756611985269503,0.08704385671242049,0.03130231001004352,0.03598928690994309,0.010378305992634751,0.06411114830934048
39,0.5177178153446034,0.15068270481144344,0.07688556566970091,0.02340702210663199,0.08615084525357607,0.02877113133940182,0.033810143042912875,0.011378413524057216,0.0711963589076723
40,0.496291718170581,0.15852904820766378,0.08606304079110012,0.025030902348578493,0.07663782447466007,0.03445611866501854,0.040327564894932014,0.012206427688504327,0.07045735475896168
41,0.47594826333381773,0.1745385845080657,0.0794942595552972,0.02325243423920942,0.08472605725911932,0.03473332364481907,0.0402557767766313,0.011916872547594826,0.07513442813544544
42,0.4447576099210823,0.1891206313416009,0.09540586245772266,0.019870349492671927,0.08244081172491545,0.0346674182638106,0.044673055242390076,0.01282412626832018,0.07624013528748591
43,0.4435050993022008,0.1800858829844337,0.09997316156736447,0.023349436392914653,0.08480944712828771,0.03462157809983897,0.0417337627482555,0.01274825550187869,0.07917337627482555
44,0.41615873427571004,0.19751005057709764,0.10699001426533523,0.02023083906108157,0.08792633899623914,0.03397743483335495,0.045778757618985866,0.013487226040721048,0.07794060433147451
45,0.3844655150019483,0.20911806728146512,0.1119625925444863,0.02117158072476945,0.08559553188725809,0.037927003506948956,0.050915703338095857,0.01727497077542538,0.08156903493960255
46,0.36716681376875554,0.22153574580759047,0.1262135922330097,0.024082713403101752,0.07817425293153449,0.036313201361745054,0.05005673937712773,0.017778338166687682,0.07867860295044761
47,0.33204295704295705,0.2338911088911089,0.13499000999000998,0.022102897102897104,0.08503996003996003,0.039460539460539464,0.05844155844155844,0.017232767232767232,0.07679820179820179
48,0.3083159317037219,0.242967694386439,0.14826188428939935,0.022601645989436186,0.08205380174425746,0.035990664537526106,0.06055767104778283,0.01867092494779511,0.08057978135364206
