sex,cause,age,val,upper,lower
Both,Skin and subcutaneous diseases,86,119179.82233359279,126456.02373517214,112474.52579675229
Both,Skin and subcutaneous diseases,87,120091.68687197244,127393.85453534772,113405.58242330524
Both,Skin and subcutaneous diseases,88,120008.26828451076,127405.98730394362,113242.07916188326
Both,Skin and subcutaneous diseases,89,119790.187497611,127415.43929023978,112818.14635268235
Both,Skin and subcutaneous diseases,90,119485.70697450098,127422.20165403442,112233.64945830009
Both,Skin and subcutaneous diseases,91,119143.08917840858,127426.26555512584,111588.45394133407
Both,Skin and subcutaneous diseases,92,118810.59657256171,127427.62215331224,110982.42526438185
Both,Skin and subcutaneous diseases,93,118479.76704961759,127407.758065836,110409.24387505218
Both,Skin and subcutaneous diseases,94,118112.38127170331,127353.45534133802,109797.81883228621
Both,Skin and subcutaneous diseases,95,117712.06585625147,127272.64828671448,109150.85851568026
Both,Skin and subcutaneous diseases,96,117282.44742069468,127173.27120886146,108471.07130483055
Both,Skin and subcutaneous diseases,97,116827.15258246551,127063.25841467516,107761.16557933332
Both,Skin and subcutaneous diseases,98,116827.15258246553,127063.25841467516,107761.16557933332
Both,Skin and subcutaneous diseases,99,116827.15258246553,127063.25841467516,107761.16557933332
Both,Skin and subcutaneous diseases,100,116827.15258246553,127063.25841467516,107761.16557933332
Both,Substance use disorders,0,95.78564077269,123.33389030955,73.43017855453
Both,Substance use disorders,1,68.84777133692427,88.64860546557193,52.77935295488679
Both,Substance use disorders,2,20.984423455432395,27.019609200122947,16.086857578715495
Both,Substance use disorders,3,0.0,0.0,0.0
Both,Substance use disorders,4,0.0,0.0,0.0
Both,Substance use disorders,5,0.0,0.0,0.0
Both,Substance use disorders,6,0.0,0.0,0.0
Both,Substance use disorders,7,0.0,0.0,0.0
Both,Substance use disorders,8,31.834243436663822,52.94166014209801,17.805032203590773
Both,Substance use disorders,9,119.04523524143427,195.39408554032443,67.55789029243152
Both,Substance use disorders,10,249.1953676564798,402.7984436525779,143.7652164836249
