Prevalence,Rate,Parkinson's disease,United States of America,10-14 years,Both sexes,2023,0,0,0,
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,25-29 years,Males,2023,0,0,0
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,30-34 years,Males,2023,0,0,0
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,35-39 years,Males,2023,0,0,0
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,40-44 years,Males,2023,21.81,34.62,10.34
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,45-49 years,Males,2023,154.27,221.91,96.41
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,50-54 years,Males,2023,362.94,480.15,267.43
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,55-59 years,Males,2023,616.92,769.31,476.46
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,60-64 years,Males,2023,"1,046.44","1,300.61",807.03
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,65-69 years,Males,2023,"1,887.30","2,421.62","1,451.65"
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,70-74 years,Males,2023,"3,401.59","4,419.11","2,483.18"
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,75-79 years,Males,2023,"6,555.76","8,459.99","4,884.71"
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,All ages,Males,2023,"1,114.71","1,301.39",900.42
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,80-84 years,Males,2023,"11,965.72","15,337.96","8,952.91"
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,85-89 years,Males,2023,"19,395.47","24,614.29","14,865.40"
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,90-94 years,Males,2023,"27,598.65","34,311.34","21,176.95"
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,95+ years,Males,2023,"34,425.92","45,018.15","26,272.74"
All Population,Prevalence,Rate,Parkinson's disease,United States of America,<5 years,Males,2023,0,0,0
All Population,Prevalence,Rate,Parkinson's disease,United States of America,5-9 years,Males,2023,0,0,0
All Population,Prevalence,Rate,Parkinson's disease,United States of America,10-14 years,Males,2023,0,0,0
All Population,Prevalence,Rate,Parkinson's disease,United States of America,15-19 years,Males,2023,0,0,0
All Population,Prevalence,Rate,Parkinson's disease,United States of America,20-24 years,Males,2023,0.14,0.23,0.06
All Population,Prevalence,Rate,Parkinson's disease,United States of America,25-29 years,Males,2023,0.95,1.58,0.42
All Population,Prevalence,Rate,Parkinson's disease,United States of America,30-34 years,Males,2023,2.81,4.1,1.69
All Population,Prevalence,Rate,Parkinson's disease,United States of America,35-39 years,Males,2023,6.62,8.47,4.94
All Population,Prevalence,Rate,Parkinson's disease,United States of America,40-44 years,Males,2023,14.95,18.76,11.69
All Population,Prevalence,Rate,Parkinson's disease,United States of America,45-49 years,Males,2023,36.55,43.51,29.72
All Population,Prevalence,Rate,Parkinson's disease,United States of America,50-54 years,Males,2023,78.4,92.57,64.59
All Population,Prevalence,Rate,Parkinson's disease,United States of America,55-59 years,Males,2023,163,191.4,138.67
All Population,Prevalence,Rate,Parkinson's disease,United States of America,60-64 years,Males,2023,348.9,410.78,295.19
All Population,Prevalence,Rate,Parkinson's disease,United States of America,65-69 years,Males,2023,833.58,971.45,714.75
All Population,Prevalence,Rate,Parkinson's disease,United States of America,70-74 years,Males,2023,"1,624.69","1,914.52","1,360.53"
All Population,Prevalence,Rate,Parkinson's disease,United States of America,75-79 years,Males,2023,"2,620.25","3,012.75","2,268.32"
All Population,Prevalence,Rate,Parkinson's disease,United States of America,All ages,Males,2023,352.56,393.39,314.07
All Population,Prevalence,Rate,Parkinson's disease,United States of America,80-84 years,Males,2023,"3,543.33","4,146.43","2,952.75"
All Population,Prevalence,Rate,Parkinson's disease,United States of America,85-89 years,Males,2023,"3,850.87","4,448.57","3,294.14"
All Population,Prevalence,Rate,Parkinson's disease,United States of America,90-94 years,Males,2023,"3,588.78","4,288.99","2,905.55"
All Population,Prevalence,Rate,Parkinson's disease,United States of America,95+ years,Males,2023,"3,072.20","3,909.04","2,298.47"
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,<5 years,Males,2023,204.27,294.1,124.45
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,5-9 years,Males,2023,264.69,405.81,153.68
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,10-14 years,Males,2023,324.32,527.29,183.94
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,15-19 years,Males,2023,368.75,543.01,218.32
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,20-24 years,Males,2023,401.86,598.98,236.89
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,25-29 years,Males,2023,419.62,615.48,236.68
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,30-34 years,Males,2023,424.27,612.41,250.93
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,35-39 years,Males,2023,419.41,608.02,243.44
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,40-44 years,Males,2023,411.72,619.58,232.6
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,45-49 years,Males,2023,407.84,599.06,244.04
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,50-54 years,Males,2023,413.4,609.61,235
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,55-59 years,Males,2023,443.51,654.15,270.42
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,60-64 years,Males,2023,499.38,742.96,299.36
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,65-69 years,Males,2023,557.54,825.9,331.8
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,70-74 years,Males,2023,606.86,887.07,368.11
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,75-79 years,Males,2023,665.17,966.66,399.04
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,All ages,Males,2023,426.62,576.48,268.31
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,80-84 years,Males,2023,732.8,"1,071.36",422.48
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,85-89 years,Males,2023,800.32,"1,225.27",456.87
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,90-94 years,Males,2023,871.75,"1,309.23",467.69
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,95+ years,Males,2023,956.52,"1,496.95",517.76
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,<5 years,Males,2023,0,0,0
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,5-9 years,Males,2023,0.3,0.52,0.14
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,10-14 years,Males,2023,2.3,3.29,1.56
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,15-19 years,Males,2023,8.09,10.95,6.19
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,20-24 years,Males,2023,22.27,28.55,17.41
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,25-29 years,Males,2023,47.64,57.08,38.42
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,30-34 years,Males,2023,77.39,88.04,65.46
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,35-39 years,Males,2023,101.93,116.5,88.49
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,40-44 years,Males,2023,118.8,131.44,106.53
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,45-49 years,Males,2023,130.28,142.46,117.77
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,50-54 years,Males,2023,137.1,149.46,126.86
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,55-59 years,Males,2023,138.49,150.58,126.45
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,60-64 years,Males,2023,133.84,145.54,122.33
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,65-69 years,Males,2023,123.1,134.25,112.07
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,70-74 years,Males,2023,107.65,117.78,97.93
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,75-79 years,Males,2023,90.3,100.54,81.52
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,All ages,Males,2023,75.39,81.3,70.15
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,80-84 years,Males,2023,73.53,82.44,65.65
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,85-89 years,Males,2023,58.19,66.68,50.36
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,90-94 years,Males,2023,45.21,54.65,36.33
All Population,Prevalence,Rate,Multiple sclerosis,United States of America,95+ years,Males,2023,34.76,44.24,25.6
All Population,Prevalence,Rate,Motor neuron disease,United States of America,<5 years,Males,2023,3.13,3.66,2.68
All Population,Prevalence,Rate,Motor neuron disease,United States of America,5-9 years,Males,2023,5,5.88,4.24
All Population,Prevalence,Rate,Motor neuron disease,United States of America,10-14 years,Males,2023,5.11,6.04,4.31
All Population,Prevalence,Rate,Motor neuron disease,United States of America,15-19 years,Males,2023,5.07,5.95,4.28
All Population,Prevalence,Rate,Motor neuron disease,United States of America,20-24 years,Males,2023,4.97,5.83,4.16
All Population,Prevalence,Rate,Motor neuron disease,United States of America,25-29 years,Males,2023,4.85,5.66,4.1
All Population,Prevalence,Rate,Motor neuron disease,United States of America,30-34 years,Males,2023,4.85,5.76,4.06
All Population,Prevalence,Rate,Motor neuron disease,United States of America,35-39 years,Males,2023,5.5,6.88,4.39
All Population,Prevalence,Rate,Motor neuron disease,United States of America,40-44 years,Males,2023,7.63,9.84,6
All Population,Prevalence,Rate,Motor neuron disease,United States of America,45-49 years,Males,2023,10.88,13.73,8.62
All Population,Prevalence,Rate,Motor neuron disease,United States of America,50-54 years,Males,2023,14.39,17.59,11.57
All Population,Prevalence,Rate,Motor neuron disease,United States of America,55-59 years,Males,2023,19.12,22.84,15.43
All Population,Prevalence,Rate,Motor neuron disease,United States of America,60-64 years,Males,2023,26.31,32.2,22.12
All Population,Prevalence,Rate,Motor neuron disease,United States of America,65-69 years,Males,2023,36.05,44.46,29.49
All Population,Prevalence,Rate,Motor neuron disease,United States of America,70-74 years,Males,2023,46.26,56.11,37.58
All Population,Prevalence,Rate,Motor neuron disease,United States of America,75-79 years,Males,2023,50.26,61.98,40.1
All Population,Prevalence,Rate,Motor neuron disease,United States of America,All ages,Males,2023,14.28,15.49,13.17
All Population,Prevalence,Rate,Motor neuron disease,United States of America,80-84 years,Males,2023,45.38,56.53,35.56
All Population,Prevalence,Rate,Motor neuron disease,United States of America,85-89 years,Males,2023,38.09,48.18,29.37
All Population,Prevalence,Rate,Motor neuron disease,United States of America,90-94 years,Males,2023,31.1,41.51,23.54
All Population,Prevalence,Rate,Motor neuron disease,United States of America,95+ years,Males,2023,29.8,44.23,17.63
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,<5 years,Females,2023,0,0,0
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,5-9 years,Females,2023,0,0,0
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,10-14 years,Females,2023,0,0,0
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,15-19 years,Females,2023,0,0,0
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,20-24 years,Females,2023,0,0,0
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,25-29 years,Females,2023,0,0,0
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,30-34 years,Females,2023,0,0,0
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,35-39 years,Females,2023,0,0,0
