population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,102,United States of America,3,Both,6,5-9 years,526,Digestive diseases,3,Rate,2023,0.2773257830978095,0.3292962167916664,0.23786133456663452
1,All Population,1,Deaths,102,United States of America,1,Male,7,10-14 years,526,Digestive diseases,3,Rate,2023,0.376614880052266,0.47766636156720216,0.30438371240927076
1,All Population,1,Deaths,102,United States of America,2,Female,7,10-14 years,526,Digestive diseases,3,Rate,2023,0.27822276139440666,0.35350867976840483,0.21517000264852135
1,All Population,1,Deaths,102,United States of America,3,Both,7,10-14 years,526,Digestive diseases,3,Rate,2023,0.3286340478531283,0.3900244189549519,0.2838169192416441
1,All Population,1,Deaths,102,United States of America,1,Male,8,15-19 years,526,Digestive diseases,3,Rate,2023,0.5957328991970783,0.7414132944670176,0.47953302369366163
1,All Population,1,Deaths,102,United States of America,2,Female,8,15-19 years,526,Digestive diseases,3,Rate,2023,0.40256844728306235,0.48967272705832415,0.32983164417589556
1,All Population,1,Deaths,102,United States of America,3,Both,8,15-19 years,526,Digestive diseases,3,Rate,2023,0.5014845374237018,0.5851554273745466,0.43086743714050835
1,All Population,1,Deaths,102,United States of America,1,Male,9,20-24 years,526,Digestive diseases,3,Rate,2023,1.2106388106217054,1.4677342056170346,0.9825358681374045
1,All Population,1,Deaths,102,United States of America,2,Female,9,20-24 years,526,Digestive diseases,3,Rate,2023,0.7272110538976311,0.8940893276188083,0.6004211217420591
1,All Population,1,Deaths,102,United States of America,3,Both,9,20-24 years,526,Digestive diseases,3,Rate,2023,0.973509392169082,1.1243540151460722,0.8425222954666555
1,All Population,1,Deaths,102,United States of America,1,Male,10,25-29 years,526,Digestive diseases,3,Rate,2023,3.4453551589710543,4.025655142096922,2.8452587563597223
1,All Population,1,Deaths,102,United States of America,2,Female,10,25-29 years,526,Digestive diseases,3,Rate,2023,1.8933857747528717,2.2618499000166556,1.616453682082888
1,All Population,1,Deaths,102,United States of America,3,Both,10,25-29 years,526,Digestive diseases,3,Rate,2023,2.682322279952457,3.0269599136864347,2.368145886419052
1,All Population,1,Deaths,102,United States of America,1,Male,11,30-34 years,526,Digestive diseases,3,Rate,2023,8.336555467603162,9.615534851717056,7.119342406106858
1,All Population,1,Deaths,102,United States of America,2,Female,11,30-34 years,526,Digestive diseases,3,Rate,2023,5.146536124917928,5.927542463041711,4.483993272046327
1,All Population,1,Deaths,102,United States of America,3,Both,11,30-34 years,526,Digestive diseases,3,Rate,2023,6.76154525813911,7.507920736011758,6.068962867477046
1,All Population,1,Deaths,102,United States of America,1,Male,12,35-39 years,526,Digestive diseases,3,Rate,2023,15.06104249883369,17.038594886313646,13.131987929509977
1,All Population,1,Deaths,102,United States of America,2,Female,12,35-39 years,526,Digestive diseases,3,Rate,2023,8.89794980828389,10.175014777272258,7.880776317445029
1,All Population,1,Deaths,102,United States of America,3,Both,12,35-39 years,526,Digestive diseases,3,Rate,2023,12.019558648207648,13.197348939391203,10.866239420049482
1,All Population,1,Deaths,102,United States of America,1,Male,13,40-44 years,526,Digestive diseases,3,Rate,2023,21.405605097342765,23.692367024784378,18.884774396922758
1,All Population,1,Deaths,102,United States of America,2,Female,13,40-44 years,526,Digestive diseases,3,Rate,2023,12.797475463108574,14.335627574772506,11.443494784629864
1,All Population,1,Deaths,102,United States of America,3,Both,13,40-44 years,526,Digestive diseases,3,Rate,2023,17.132143106804822,18.488764716194474,15.650186494161833
1,All Population,1,Deaths,102,United States of America,1,Male,14,45-49 years,526,Digestive diseases,3,Rate,2023,32.10276249280339,35.025706695166996,28.758148405071744
1,All Population,1,Deaths,102,United States of America,2,Female,14,45-49 years,526,Digestive diseases,3,Rate,2023,18.324503496695325,20.37288130890392,16.7708635729197
1,All Population,1,Deaths,102,United States of America,3,Both,14,45-49 years,526,Digestive diseases,3,Rate,2023,25.220384752830057,26.99584422900023,23.401452767542303
