population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Deaths,United States of America,Female,80-84 years,Cardiovascular diseases,Rate,2023,1543.3193617284644,1724.2193467987593,1236.629531334981
All Population,Deaths,United States of America,Both,80-84 years,Cardiovascular diseases,Rate,2023,1812.5368869295153,1968.2264217817783,1547.365648148262
All Population,Deaths,United States of America,Male,85-89 years,Cardiovascular diseases,Rate,2023,4092.8970119478504,4468.575555616334,3402.3151645930798
All Population,Deaths,United States of America,Female,85-89 years,Cardiovascular diseases,Rate,2023,3208.831130606506,3645.915053211091,2394.0003856613034
All Population,Deaths,United States of America,Both,85-89 years,Cardiovascular diseases,Rate,2023,3558.6143808076563,3940.319760609679,2785.2005242712357
All Population,Deaths,United States of America,Male,90-94 years,Cardiovascular diseases,Rate,2023,8036.466307007312,8932.048207140428,6409.262482279547
All Population,Deaths,United States of America,Female,90-94 years,Cardiovascular diseases,Rate,2023,6707.336624804625,7727.411408367374,4900.174548560681
All Population,Deaths,United States of America,Both,90-94 years,Cardiovascular diseases,Rate,2023,7159.778826852748,8096.87336590799,5485.9942467689325
All Population,Deaths,United States of America,Male,2-4 years,Cardiovascular diseases,Rate,2023,0.7476321721164332,0.9091701339730701,0.6237418774923997
All Population,Deaths,United States of America,Female,2-4 years,Cardiovascular diseases,Rate,2023,0.49020719732754137,0.6001223293760444,0.4013477317255264
All Population,Deaths,United States of America,Both,2-4 years,Cardiovascular diseases,Rate,2023,0.6217870644377899,0.7208411669381309,0.5470206043400996
All Population,Deaths,United States of America,Male,95+ years,Cardiovascular diseases,Rate,2023,12559.722018545586,14432.377539108615,9269.377267630629
All Population,Deaths,United States of America,Female,95+ years,Cardiovascular diseases,Rate,2023,12547.231779802016,14714.037677466402,8894.864212674545
All Population,Deaths,United States of America,Both,95+ years,Cardiovascular diseases,Rate,2023,12550.632980566983,14532.071233455405,9009.370336012606
All Population,Deaths,United States of America,Male,<5 years,Skin and subcutaneous diseases,Rate,2023,0.09834743871980303,0.12274484270409114,0.07636080909204036
All Population,Deaths,United States of America,Female,<5 years,Skin and subcutaneous diseases,Rate,2023,0.07191157162672726,0.08910752388900767,0.056895902184509545
All Population,Deaths,United States of America,Both,<5 years,Skin and subcutaneous diseases,Rate,2023,0.0854211841699342,0.10212352004249658,0.07326956389622118
All Population,Deaths,United States of America,Male,5-9 years,Skin and subcutaneous diseases,Rate,2023,0.014455118372173503,0.018350615802698558,0.011304701769982333
All Population,Deaths,United States of America,Female,5-9 years,Skin and subcutaneous diseases,Rate,2023,0.012611370264244269,0.015540226452683157,0.009952428173340756
All Population,Deaths,United States of America,Both,5-9 years,Skin and subcutaneous diseases,Rate,2023,0.013554413656702707,0.016104407368915115,0.011543282637841538
All Population,Deaths,United States of America,Male,10-14 years,Skin and subcutaneous diseases,Rate,2023,0.01610245123279692,0.020621830645331893,0.012495921318736551
All Population,Deaths,United States of America,Female,10-14 years,Skin and subcutaneous diseases,Rate,2023,0.018077899373351674,0.02262537223788593,0.01387125218881264
All Population,Deaths,United States of America,Both,10-14 years,Skin and subcutaneous diseases,Rate,2023,0.01706577682272195,0.020291618799397688,0.01453519910382713
All Population,Deaths,United States of America,Male,15-19 years,Skin and subcutaneous diseases,Rate,2023,0.027898407350227597,0.036578773692637845,0.0209622258253526
All Population,Deaths,United States of America,Female,15-19 years,Skin and subcutaneous diseases,Rate,2023,0.022733136556047376,0.028128541162703056,0.018086105496983175
All Population,Deaths,United States of America,Both,15-19 years,Skin and subcutaneous diseases,Rate,2023,0.025378180125996647,0.030535215765127036,0.020928698162394756
All Population,Deaths,United States of America,Male,20-24 years,Skin and subcutaneous diseases,Rate,2023,0.05047326071453169,0.06341690968897422,0.03846627848658069
All Population,Deaths,United States of America,Female,20-24 years,Skin and subcutaneous diseases,Rate,2023,0.04097863024252136,0.05126526518611916,0.03151198994141094
All Population,Deaths,United States of America,Both,20-24 years,Skin and subcutaneous diseases,Rate,2023,0.045815985307949246,0.053590508141088726,0.038491287477966714
All Population,Deaths,United States of America,Male,25-29 years,Skin and subcutaneous diseases,Rate,2023,0.12783857193257814,0.158913096864326,0.09725363678140374
All Population,Deaths,United States of America,Female,25-29 years,Skin and subcutaneous diseases,Rate,2023,0.10166233651726271,0.12532292467889644,0.07851719628700796
All Population,Deaths,United States of America,Both,25-29 years,Skin and subcutaneous diseases,Rate,2023,0.11496890551136951,0.13434551099823921,0.09552079505302699
All Population,Deaths,United States of America,Male,30-34 years,Skin and subcutaneous diseases,Rate,2023,0.2484905466604825,0.30875905394244857,0.18911734225158952
All Population,Deaths,United States of America,Female,30-34 years,Skin and subcutaneous diseases,Rate,2023,0.2337115154679982,0.28916556125236154,0.1799832691447607
