population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Incidence,United States of America,Both,10-14 years,Skin and subcutaneous diseases,Rate,2023,30111.37789198926,34923.84193077367,26621.59587833286
All Population,Incidence,United States of America,Both,15-19 years,Skin and subcutaneous diseases,Rate,2023,29471.252897190257,31885.17298566553,27275.023069486047
All Population,Incidence,United States of America,Both,20-24 years,Skin and subcutaneous diseases,Rate,2023,28047.030215358933,31046.63268152139,25268.61649628291
All Population,Incidence,United States of America,Both,25-29 years,Skin and subcutaneous diseases,Rate,2023,30254.00343242568,33250.25144598564,27779.26195572421
All Population,Incidence,United States of America,Both,30-34 years,Skin and subcutaneous diseases,Rate,2023,33199.10108021988,36651.36678432333,30215.382304464878
All Population,Incidence,United States of America,Both,35-39 years,Skin and subcutaneous diseases,Rate,2023,34994.82429867387,38473.290750715474,32222.13085078375
All Population,Incidence,United States of America,Both,40-44 years,Skin and subcutaneous diseases,Rate,2023,36762.10465418408,40360.12024724017,33981.178505417796
All Population,Incidence,United States of America,Both,45-49 years,Skin and subcutaneous diseases,Rate,2023,40242.82174580049,44187.33397693352,37325.42787217823
All Population,Incidence,United States of America,Both,50-54 years,Skin and subcutaneous diseases,Rate,2023,47322.90640934378,51401.16436933266,44078.76150428522
All Population,Incidence,United States of America,Both,55-59 years,Skin and subcutaneous diseases,Rate,2023,53250.15274580199,58774.18350270917,48043.85364422202
All Population,Incidence,United States of America,Both,60-64 years,Skin and subcutaneous diseases,Rate,2023,57963.16466538418,64223.03801240637,53552.21524638628
All Population,Incidence,United States of America,Both,65-69 years,Skin and subcutaneous diseases,Rate,2023,74099.11027211543,80525.52396434978,68725.65668617144
All Population,Incidence,United States of America,Both,70-74 years,Skin and subcutaneous diseases,Rate,2023,93271.33526412978,100053.99086627031,86785.95603314905
All Population,Incidence,United States of America,Both,75-79 years,Skin and subcutaneous diseases,Rate,2023,97747.13732205567,104971.544871296,90961.34485719344
All Population,Incidence,United States of America,Both,<1 year,Skin and subcutaneous diseases,Rate,2023,22997.91050783124,24933.466872833098,21267.11231946283
All Population,Incidence,United States of America,Both,80-84 years,Skin and subcutaneous diseases,Rate,2023,107913.97652676425,115045.07735044154,101036.24109977491
All Population,Incidence,United States of America,Both,85-89 years,Skin and subcutaneous diseases,Rate,2023,120091.68687197244,127393.85453534772,113405.58242330523
All Population,Incidence,United States of America,Both,90-94 years,Skin and subcutaneous diseases,Rate,2023,118810.59657256173,127427.62215331224,110982.42526438185
All Population,Incidence,United States of America,Both,2-4 years,Skin and subcutaneous diseases,Rate,2023,22776.22493889556,27884.903900704223,19117.05933749685
All Population,Incidence,United States of America,Both,95+ years,Skin and subcutaneous diseases,Rate,2023,116827.15258246553,127063.25841467516,107761.16557933333
All Population,Incidence,United States of America,Both,<5 years,Substance use disorders,Rate,2023,18.74267553648,24.13312757608,14.36831241229
All Population,Incidence,United States of America,Both,5-9 years,Substance use disorders,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Both,10-14 years,Substance use disorders,Rate,2023,588.56262328607,914.22762785076,353.56984204148
All Population,Incidence,United States of America,Both,15-19 years,Substance use disorders,Rate,2023,2673.74345246424,3267.1735023604097,2184.65959466216
All Population,Incidence,United States of America,Both,20-24 years,Substance use disorders,Rate,2023,3446.69483782098,4100.92844199493,2753.0008250466103
All Population,Incidence,United States of America,Both,25-29 years,Substance use disorders,Rate,2023,3839.7282902953502,4718.528570655741,3006.33733553768
All Population,Incidence,United States of America,Both,30-34 years,Substance use disorders,Rate,2023,3774.59496601274,4616.80054548942,2922.59918861718
All Population,Incidence,United States of America,Both,35-39 years,Substance use disorders,Rate,2023,3204.77538574723,3996.66491250331,2595.8231277689597
All Population,Incidence,United States of America,Both,40-44 years,Substance use disorders,Rate,2023,2683.54142386003,3423.1489172317697,2073.70422627601
All Population,Incidence,United States of America,Both,45-49 years,Substance use disorders,Rate,2023,2207.20561774017,2817.35228602532,1733.40392182289
All Population,Incidence,United States of America,Both,50-54 years,Substance use disorders,Rate,2023,1810.88393033276,2365.56049489833,1353.44598617366
All Population,Incidence,United States of America,Both,55-59 years,Substance use disorders,Rate,2023,1479.1584094812902,1901.2844149209202,1102.16482421399
All Population,Incidence,United States of America,Both,60-64 years,Substance use disorders,Rate,2023,1135.64855354601,1537.7004541856302,767.33642871723
All Population,Incidence,United States of America,Both,65-69 years,Substance use disorders,Rate,2023,785.54865417643,1048.8917951396602,579.61834054989
All Population,Incidence,United States of America,Both,70-74 years,Substance use disorders,Rate,2023,557.0054275172,778.23819449402,381.84187519089
All Population,Incidence,United States of America,Both,75-79 years,Substance use disorders,Rate,2023,449.73214537107003,616.82008282093,323.81247875415
All Population,Incidence,United States of America,Both,<1 year,Substance use disorders,Rate,2023,95.78564077269,123.33389030954999,73.43017855453
All Population,Incidence,United States of America,Both,80-84 years,Substance use disorders,Rate,2023,398.94047446069,537.72963719951,280.23466938629
All Population,Incidence,United States of America,Both,85-89 years,Substance use disorders,Rate,2023,404.98340584353,570.99245176941,274.51179685476
All Population,Incidence,United States of America,Both,90-94 years,Substance use disorders,Rate,2023,431.65901371668,611.78880927093,270.5234533861
All Population,Incidence,United States of America,Both,2-4 years,Substance use disorders,Rate,2023,0.0,0.0,0.0
All Population,Incidence,United States of America,Both,95+ years,Substance use disorders,Rate,2023,473.34602485395,776.13747032378,237.53047496457998
All Population,Incidence,United States of America,Both,<5 years,Diabetes and kidney diseases,Rate,2023,40.141650794840004,78.87467041149,19.59824126597
All Population,Incidence,United States of America,Both,5-9 years,Diabetes and kidney diseases,Rate,2023,73.55211504063,132.75880971847,43.42948325608
All Population,Incidence,United States of America,Both,10-14 years,Diabetes and kidney diseases,Rate,2023,65.71317597973,115.74631486119999,48.151319528070005
All Population,Incidence,United States of America,Both,15-19 years,Diabetes and kidney diseases,Rate,2023,122.88621858226999,147.64302095736,96.8714336359
All Population,Incidence,United States of America,Both,20-24 years,Diabetes and kidney diseases,Rate,2023,91.10729277183,123.56830631822999,66.32526491539001
All Population,Incidence,United States of America,Both,25-29 years,Diabetes and kidney diseases,Rate,2023,160.17766891620002,209.38402010178,108.9289269343
All Population,Incidence,United States of America,Both,30-34 years,Diabetes and kidney diseases,Rate,2023,341.38452242645997,403.99692166959,284.09978082931997
All Population,Incidence,United States of America,Both,35-39 years,Diabetes and kidney diseases,Rate,2023,567.36722549087,690.91842609666,450.84926751971994
All Population,Incidence,United States of America,Both,40-44 years,Diabetes and kidney diseases,Rate,2023,796.76416850148,903.12154893626,700.85039197168
All Population,Incidence,United States of America,Both,45-49 years,Diabetes and kidney diseases,Rate,2023,1038.4890417986,1286.1593481300802,812.28870092276
All Population,Incidence,United States of America,Both,50-54 years,Diabetes and kidney diseases,Rate,2023,1330.2659100604399,1544.5822204173598,1115.59694419074
All Population,Incidence,United States of America,Both,55-59 years,Diabetes and kidney diseases,Rate,2023,1708.4642322851,2011.71824588865,1451.78038553278
All Population,Incidence,United States of America,Both,60-64 years,Diabetes and kidney diseases,Rate,2023,2126.6787246195,2514.43835549767,1801.29836061345
All Population,Incidence,United States of America,Both,65-69 years,Diabetes and kidney diseases,Rate,2023,2458.12549120913,2887.30629490466,1977.5812934707499
All Population,Incidence,United States of America,Both,70-74 years,Diabetes and kidney diseases,Rate,2023,2604.7349771874997,3258.6883789287403,2021.4041088970298
All Population,Incidence,United States of America,Both,75-79 years,Diabetes and kidney diseases,Rate,2023,2513.9550134424303,3180.4841179080204,1911.22398014743
All Population,Incidence,United States of America,Both,<1 year,Diabetes and kidney diseases,Rate,2023,43.9185387957,53.31773681017,36.9507750449
All Population,Incidence,United States of America,Both,80-84 years,Diabetes and kidney diseases,Rate,2023,2093.46694538412,2636.4895341272,1570.0116082657398
All Population,Incidence,United States of America,Both,85-89 years,Diabetes and kidney diseases,Rate,2023,1620.89699887456,2090.1083298090502,1191.1754755835
