Disease_A	label_A	Disease_B	label_B	OR	freq_comorb	freq_A	freq_B
L99	Musculoskeletal disease, other	S91	Psoriasis	1.81	5175	90092	101910
L99	Musculoskeletal disease, other	S99	Skin disease, other	2.124	2612	92655	37981
N18	Paralysis/weakness	N73	Neurological infection other	11.736	16	3936	1000
N18	Paralysis/weakness	N74	Malignant neoplasm nervous system	7.622	60	3892	6104
N18	Paralysis/weakness	N75	Benign neoplasm nervous system	4.351	77	3875	15890
N18	Paralysis/weakness	N85	Congenital anomaly neurological	18.194	82	3870	3657
N18	Paralysis/weakness	N86	Multiple sclerosis	17.201	132	3820	6802
N18	Paralysis/weakness	N88	Epilepsy	6.835	408	3544	49504
N18	Paralysis/weakness	N94	Peripheral neuritis/neuropathy	2.158	229	3723	85070
N18	Paralysis/weakness	N99	Neurological disease, other	26.038	513	3439	17745
N18	Paralysis/weakness	P71	Organic psychosis other	1.826	170	3782	83418
N18	Paralysis/weakness	P85	Mental retardation	16.355	260	3692	12303
N18	Paralysis/weakness	P98	Psychosis not otherwise specified/other	2.006	54	3898	20068
N18	Paralysis/weakness	S86	Dermatitis seborrhoeic	1.95	380	3572	154038
N18	Paralysis/weakness	U99	Urinary disease, other	7.167	221	3731	24115
N73	Neurological infection other	N74	Malignant neoplasm nervous system	7.975	16	1000	6148
N75	Benign neoplasm nervous system	N73	Neurological infection other	7.093	33	983	15934
N73	Neurological infection other	N88	Epilepsy	7.155	108	908	49804
N73	Neurological infection other	N99	Neurological disease, other	4.29	25	991	18233
N75	Benign neoplasm nervous system	N74	Malignant neoplasm nervous system	19.606	557	5607	15410
N74	Malignant neoplasm nervous system	N88	Epilepsy	11.537	951	5213	48961
N74	Malignant neoplasm nervous system	P71	Organic psychosis other	1.817	330	5834	83258
N74	Malignant neoplasm nervous system	P85	Mental retardation	2.036	44	6120	12519
N74	Malignant neoplasm nervous system	R84	Malignant neoplasm bronchus/lung	3.332	250	5914	30532
N74	Malignant neoplasm nervous system	T71	Malignant neoplasm thyroid	2.479	29	6135	6479
N74	Malignant neoplasm nervous system	U75	Malignant neoplasm of kidney	1.91	57	6107	12440
N74	Malignant neoplasm nervous system	X76	Malignant neoplasm breast female	1.505	198	5966	69832
N75	Benign neoplasm nervous system	N85	Congenital anomaly neurological	2.738	47	15920	3692
N75	Benign neoplasm nervous system	N88	Epilepsy	6.527	1412	14555	48500
N75	Benign neoplasm nervous system	N92	Trigeminal neuralgia	3.194	288	15679	15726
N75	Benign neoplasm nervous system	N94	Peripheral neuritis/neuropathy	1.931	857	15110	84442
N75	Benign neoplasm nervous system	N99	Neurological disease, other	1.622	155	15812	18103
N75	Benign neoplasm nervous system	P71	Organic psychosis other	1.874	890	15077	82698
N85	Congenital anomaly neurological	N88	Epilepsy	3.541	203	3536	49709
N85	Congenital anomaly neurological	N92	Trigeminal neuralgia	2.528	44	3695	15970
