Disease_A	label_A	Disease_B	label_B	OR	freq_comorb	freq_A	freq_B
B72	Hodgkin's disease/lymphoma	Y78	Malignant neoplasm male genital other	2.372	27	11041	3062
B81	Anaemia, Vitamin B12/folate deficiency	N18	Paralysis/weakness	1.718	73	36409	3879
D74	Malignant neoplasm stomach	K94.02	Phlebitis/thrombophlebitis low limb deep	1.538	113	9836	16684
F94	Blindness	N18	Paralysis/weakness	2.139	35	13503	3917
K88	Postural hypotension	N99	Neurological disease, other	1.563	103	11032	18155
K93	Pulmonary embolism	T71	Malignant neoplasm thyroid	1.732	66	22074	6442
L71	Malignant neoplasm musculoskeletal	X77	Malignant neoplasm female genital other	1.961	46	3656	18088
N18	Paralysis/weakness	N87	Parkinsonism	1.648	84	3868	42021
N75	Benign neoplasm nervous system	U75	Malignant neoplasm of kidney	1.562	100	15867	12397
P75	Somatization disorder	P85	Mental retardation	1.517	121	17504	12442
S77	Malignant neoplasm of skin	Y78	Malignant neoplasm male genital other	1.503	130	108490	2959
A04	Weakness/tiredness general	B82	Anaemia other/unspecified	1.578	25796	245583	185647
A04	Weakness/tiredness general	D93	Irritable bowel syndrome	1.62	7541	263838	43894
A04	Weakness/tiredness general	D99	Disease digestive system, other	1.508	3103	268276	23388
A04	Weakness/tiredness general	H82	Vertiginous syndrome	1.621	42057	229322	282297
K88	Postural hypotension	A04	Weakness/tiredness general	2.23	2075	269304	9060
A04	Weakness/tiredness general	L84	Back syndrome without radiating pain	1.629	3504	267875	21632
A04	Weakness/tiredness general	P71	Organic psychosis other	1.643	10029	261350	73559
A04	Weakness/tiredness general	P74	Anxiety disorder/anxiety state	1.61	100212	171167	668617
P75	Somatization disorder	A04	Weakness/tiredness general	1.774	2754	268625	14871
A04	Weakness/tiredness general	P76	Depressive disorder	1.688	69364	202015	449723
A04	Weakness/tiredness general	P78	Neuraesthenia/surmenage	5.541	968	270411	1527
A70	Tuberculosis	B90	HIV-infection/aids	7.76	1354	31915	17559
A70	Tuberculosis	D72	Viral hepatitis	3.283	2284	30985	65411
A70	Tuberculosis	D77	Malignant neoplasm digest other/not otherwise specified	1.738	496	32773	22488
A70	Tuberculosis	D85	Duodenal ulcer	1.652	1191	32078	59273
A70	Tuberculosis	D86	Peptic ulcer other	1.577	959	32310	50128
A70	Tuberculosis	D99	Disease digestive system, other	1.727	513	32756	25978
A70	Tuberculosis	K82	Pulmonary heart disease	2.386	452	32817	15004
K93	Pulmonary embolism	A70	Tuberculosis	1.607	429	32840	21711
A70	Tuberculosis	L88.01	Ankylosing spondylitis	1.89	135	33134	6388
A70	Tuberculosis	P15	Chronic alcohol abuse	1.986	3180	30089	145739
A70	Tuberculosis	P19	Drug abuse	3.811	269	33000	6629
A70	Tuberculosis	R84	Malignant neoplasm bronchus/lung	1.786	712	32557	30070
A70	Tuberculosis	R85	Malignant neoplasm respiratory, other	1.983	253	33016	9465
A70	Tuberculosis	R95	Chronic obstructive pulmonary disease	3.067	6598	26671	201674
A70	Tuberculosis	R99	Respiratory disease other	3.299	3852	29417	108893
A70	Tuberculosis	X74	Pelvic inflammatory disease	1.848	92	33177	6531
B72	Hodgkin's disease/lymphoma	A79	Malignancy not otherwise specified	2.826	481	43666	10587
A79	Malignancy not otherwise specified	B74	Malignant neoplasm blood other	2.452	487	43660	10083
A79	Malignancy not otherwise specified	B90	HIV-infection/aids	2.676	454	43693	18459
D74	Malignant neoplasm stomach	A79	Malignancy not otherwise specified	6.75	1246	42901	8703
A79	Malignancy not otherwise specified	D75	Malignant neoplasm colon/rectum	9.521	8657	35490	53637
A79	Malignancy not otherwise specified	D76	Malignant neoplasm pancreas	13.344	1561	42586	6027
A79	Malignancy not otherwise specified	D77	Malignant neoplasm digest other/not otherwise specified	5.957	2403	41744	20581
K93	Pulmonary embolism	A79	Malignancy not otherwise specified	3.56	1404	42743	20736
A79	Malignancy not otherwise specified	K94	Phlebitis/thrombophlebitis	1.719	2345	41802	80635
A79	Malignancy not otherwise specified	K94.02	Phlebitis/thrombophlebitis low limb deep	2.585	747	43400	16050
L71	Malignant neoplasm musculoskeletal	A79	Malignancy not otherwise specified	8.406	426	43721	3276
N18	Paralysis/weakness	A79	Malignancy not otherwise specified	2.176	123	44024	3829
A79	Malignancy not otherwise specified	N74	Malignant neoplasm nervous system	3.853	374	43773	5790
N75	Benign neoplasm nervous system	A79	Malignancy not otherwise specified	1.504	354	43793	15613
A79	Malignancy not otherwise specified	R84	Malignant neoplasm bronchus/lung	16.233	6906	37241	23876
A79	Malignancy not otherwise specified	R85	Malignant neoplasm respiratory, other	4.423	872	43275	8846
A79	Malignancy not otherwise specified	T71	Malignant neoplasm thyroid	5.863	405	43742	6103
A79	Malignancy not otherwise specified	U75	Malignant neoplasm of kidney	7.282	1567	42580	10930
A79	Malignancy not otherwise specified	U76	Malignant neoplasm of bladder	2.79	2187	41960	33314
A79	Malignancy not otherwise specified	U99	Urinary disease, other	1.544	673	43474	23663
A79	Malignancy not otherwise specified	X75	Malignant neoplasm cervix	5.601	302	43845	4896
A79	Malignancy not otherwise specified	X76	Malignant neoplasm breast female	8.315	5456	38691	64574
A79	Malignancy not otherwise specified	X77	Malignant neoplasm female genital other	7.997	1711	42436	16423
A79	Malignancy not otherwise specified	Y77	Malignant neoplasm prostate	3.329	4069	40078	51142
A79	Malignancy not otherwise specified	Y78	Malignant neoplasm male genital other	6.102	237	43910	2852
B81	Anaemia, Vitamin B12/folate deficiency	A90	Congenital anomaly OS/multiple	1.756	95	7736	36387
A90	Congenital anomaly OS/multiple	D99.01	Coeliac disease	1.868	60	7771	9166
A90	Congenital anomaly OS/multiple	F92	Cataract	2.073	850	6981	401680
F94	Blindness	A90	Congenital anomaly OS/multiple	2.917	78	7753	13460
A90	Congenital anomaly OS/multiple	H86	Deafness	1.548	960	6871	326363
A90	Congenital anomaly OS/multiple	K71	Rheumatic fever/heart disease	2.019	63	7768	22018
A90	Congenital anomaly OS/multiple	K73	Congenital anomaly cardiovascular	16.44	347	7484	7130
A90	Congenital anomaly OS/multiple	K81	Heart/arterial murmur not otherwise specified	1.686	173	7658	46632
A90	Congenital anomaly OS/multiple	K82	Pulmonary heart disease	4.541	86	7745	15370
A90	Congenital anomaly OS/multiple	K83	Heart valve disease not otherwise specified	2.897	463	7368	121344
A90	Congenital anomaly OS/multiple	K94	Phlebitis/thrombophlebitis	1.516	222	7609	82758
A90	Congenital anomaly OS/multiple	K94.02	Phlebitis/thrombophlebitis low limb deep	2.038	61	7770	16736
L71	Malignant neoplasm musculoskeletal	A90	Congenital anomaly OS/multiple	3.399	27	7804	3675
A90	Congenital anomaly OS/multiple	L82	Congenital hip dislocation	2.207	120	7711	18426
A90	Congenital anomaly OS/multiple	L82.01	Congenital anomaly musculoskeletal	3.723	33	7798	2861
A90	Congenital anomaly OS/multiple	L85	Acquired deformity of spine	1.843	610	7221	123107
A90	Congenital anomaly OS/multiple	L95	Osteoporosis	1.543	532	7299	272720
N18	Paralysis/weakness	A90	Congenital anomaly OS/multiple	3.146	32	7799	3920
A90	Congenital anomaly OS/multiple	N74	Malignant neoplasm nervous system	2.738	35	7796	6129
N75	Benign neoplasm nervous system	A90	Congenital anomaly OS/multiple	3.286	109	7722	15858
A90	Congenital anomaly OS/multiple	N85	Congenital anomaly neurological	5.473	67	7764	3672
A90	Congenital anomaly OS/multiple	N88	Epilepsy	4.579	553	7278	49359
A90	Congenital anomaly OS/multiple	N99	Neurological disease, other	3.298	116	7715	18142
A90	Congenital anomaly OS/multiple	P70	Dementia	3.137	311	7520	149392
A90	Congenital anomaly OS/multiple	P71	Organic psychosis other	1.915	203	7628	83385
A90	Congenital anomaly OS/multiple	P85	Mental retardation	16.761	619	7212	11944
A90	Congenital anomaly OS/multiple	P98	Psychosis not otherwise specified/other	1.931	118	7713	20004
A90	Congenital anomaly OS/multiple	R99	Respiratory disease other	1.577	328	7503	112417
A90	Congenital anomaly OS/multiple	S86	Dermatitis seborrhoeic	1.573	605	7226	153813
A90	Congenital anomaly OS/multiple	T86	Hypothyroidism/myxoedema	2.762	1645	6186	297691
A90	Congenital anomaly OS/multiple	U99	Urinary disease, other	1.909	90	7741	24246
B72	Hodgkin's disease/lymphoma	B73	Leukaemia	4.574	217	10851	11878
B72	Hodgkin's disease/lymphoma	B74	Malignant neoplasm blood other	11.82	459	10609	10111
B72	Hodgkin's disease/lymphoma	B75	Benign/unspecified neoplasm blood	2.345	75	10993	7677
B72	Hodgkin's disease/lymphoma	B83	Purpura/coagulation defect	1.545	351	10717	60614
B72	Hodgkin's disease/lymphoma	B90	HIV-infection/aids	5.69	325	10743	18588
B72	Hodgkin's disease/lymphoma	D72	Viral hepatitis	1.912	455	10613	67240
B72	Hodgkin's disease/lymphoma	D74	Malignant neoplasm stomach	1.995	83	10985	9866
B72	Hodgkin's disease/lymphoma	D77	Malignant neoplasm digest other/not otherwise specified	1.975	185	10883	22799
B72	Hodgkin's disease/lymphoma	K93	Pulmonary embolism	2.123	185	10883	21955
B72	Hodgkin's disease/lymphoma	K94	Phlebitis/thrombophlebitis	1.677	513	10555	82467
B72	Hodgkin's disease/lymphoma	K94.02	Phlebitis/thrombophlebitis low limb deep	1.867	121	10947	16676
B72	Hodgkin's disease/lymphoma	L71	Malignant neoplasm musculoskeletal	3.181	43	11025	3659
B72	Hodgkin's disease/lymphoma	N74	Malignant neoplasm nervous system	2.021	47	11021	6117
B72	Hodgkin's disease/lymphoma	R84	Malignant neoplasm bronchus/lung	1.604	211	10857	30571
B72	Hodgkin's disease/lymphoma	R99	Respiratory disease other	1.546	660	10408	112085
B72	Hodgkin's disease/lymphoma	S77	Malignant neoplasm of skin	1.608	683	10385	107937
B72	Hodgkin's disease/lymphoma	T71	Malignant neoplasm thyroid	2.436	51	11017	6457
B72	Hodgkin's disease/lymphoma	U75	Malignant neoplasm of kidney	1.92	98	10970	12399
B73	Leukaemia	B74	Malignant neoplasm blood other	3.57	204	11891	10366
B73	Leukaemia	B75	Benign/unspecified neoplasm blood	9.654	433	11662	7319
B73	Leukaemia	B83	Purpura/coagulation defect	2.495	675	11420	60290
S77	Malignant neoplasm of skin	B73	Leukaemia	1.686	1020	11075	107600
B74	Malignant neoplasm blood other	B75	Benign/unspecified neoplasm blood	2.795	113	10457	7639
B81	Anaemia, Vitamin B12/folate deficiency	B74	Malignant neoplasm blood other	1.719	302	10268	36180
B74	Malignant neoplasm blood other	B82	Anaemia other/unspecified	2.345	1926	8644	209517
B74	Malignant neoplasm blood other	B83	Purpura/coagulation defect	1.843	436	10134	60529
B74	Malignant neoplasm blood other	B90	HIV-infection/aids	2.769	99	10471	18814
B74	Malignant neoplasm blood other	D72	Viral hepatitis	1.688	380	10190	67315
K93	Pulmonary embolism	B74	Malignant neoplasm blood other	2.005	212	10358	21928
B74	Malignant neoplasm blood other	K94.02	Phlebitis/thrombophlebitis low limb deep	2.249	165	10405	16632
L71	Malignant neoplasm musculoskeletal	B74	Malignant neoplasm blood other	5.934	82	10488	3620
B74	Malignant neoplasm blood other	N94	Peripheral neuritis/neuropathy	1.653	530	10040	84769
B81	Anaemia, Vitamin B12/folate deficiency	B75	Benign/unspecified neoplasm blood	2.521	385	7367	36097
B75	Benign/unspecified neoplasm blood	B82	Anaemia other/unspecified	3.192	2029	5723	209414
B75	Benign/unspecified neoplasm blood	B83	Purpura/coagulation defect	4.409	758	6994	60207
B75	Benign/unspecified neoplasm blood	D99	Disease digestive system, other	1.566	132	7620	26359
B75	Benign/unspecified neoplasm blood	K77	Heart failure	1.741	1103	6649	127190
B75	Benign/unspecified neoplasm blood	K82	Pulmonary heart disease	2.122	148	7604	15308
K93	Pulmonary embolism	B75	Benign/unspecified neoplasm blood	1.614	144	7608	21996
B75	Benign/unspecified neoplasm blood	K94	Phlebitis/thrombophlebitis	1.976	537	7215	82443
B75	Benign/unspecified neoplasm blood	K94.02	Phlebitis/thrombophlebitis low limb deep	1.852	108	7644	16689
B75	Benign/unspecified neoplasm blood	U99.01	Chronic renal failure	1.523	1805	5947	268311
B78	Hereditary haemolytic anaemia	B82	Anaemia other/unspecified	2.097	2257	18865	209186
B78	Hereditary haemolytic anaemia	K82	Pulmonary heart disease	1.609	113	21009	15343
B78	Hereditary haemolytic anaemia	T80	Congenital anomaly endocrine/metab.	1.568	204	20918	17346
B81	Anaemia, Vitamin B12/folate deficiency	B82	Anaemia other/unspecified	2.101	6857	29625	204586
B81	Anaemia, Vitamin B12/folate deficiency	B83	Purpura/coagulation defect	1.511	1219	35263	59746
B81	Anaemia, Vitamin B12/folate deficiency	D74	Malignant neoplasm stomach	4.127	699	35783	9250
B81	Anaemia, Vitamin B12/folate deficiency	D94	Chronic enteritis/ulcerative colitis	2.198	532	35950	24647
B81	Anaemia, Vitamin B12/folate deficiency	D99	Disease digestive system, other	1.929	717	35765	25774
B81	Anaemia, Vitamin B12/folate deficiency	D99.01	Coeliac disease	3.667	227	36255	8999
B81	Anaemia, Vitamin B12/folate deficiency	F83	Retinopathy	1.799	1747	34735	62764
B81	Anaemia, Vitamin B12/folate deficiency	K88	Postural hypotension	1.57	217	36265	10918
B81	Anaemia, Vitamin B12/folate deficiency	N87	Parkinsonism	1.538	1460	35022	40645
B81	Anaemia, Vitamin B12/folate deficiency	N88	Epilepsy	1.619	941	35541	48971
B81	Anaemia, Vitamin B12/folate deficiency	N94	Peripheral neuritis/neuropathy	1.887	1883	34599	83416
B81	Anaemia, Vitamin B12/folate deficiency	N99	Neurological disease, other	1.782	489	35993	17769
B81	Anaemia, Vitamin B12/folate deficiency	P15	Chronic alcohol abuse	1.91	2245	34237	146674
B81	Anaemia, Vitamin B12/folate deficiency	P70	Dementia	1.614	5902	30580	143801
B81	Anaemia, Vitamin B12/folate deficiency	P71	Organic psychosis other	1.671	2850	33632	80738
B81	Anaemia, Vitamin B12/folate deficiency	P78	Neuraesthenia/surmenage	2.39	44	36438	2451
B81	Anaemia, Vitamin B12/folate deficiency	P86	Anorexia nervosa/bulimia	2.338	124	36358	10344
B81	Anaemia, Vitamin B12/folate deficiency	T86	Hypothyroidism/myxoedema	1.826	5795	30687	293541
B81	Anaemia, Vitamin B12/folate deficiency	T89	Diabetes insulin dependent	1.884	376	36106	20671
B81	Anaemia, Vitamin B12/folate deficiency	U99.01	Chronic renal failure	1.583	8286	28196	261830
B82	Anaemia other/unspecified	B83	Purpura/coagulation defect	1.868	7718	203725	53247
D74	Malignant neoplasm stomach	B82	Anaemia other/unspecified	2.108	1748	209695	8201
B82	Anaemia other/unspecified	D75	Malignant neoplasm colon/rectum	1.571	8399	203044	53895
B82	Anaemia other/unspecified	D92	Diverticular disease	1.553	17174	194269	118087
B82	Anaemia other/unspecified	D99	Disease digestive system, other	2.063	3870	207573	22621
B82	Anaemia other/unspecified	D99.01	Coeliac disease	1.679	752	210691	8474
B82	Anaemia other/unspecified	F83	Retinopathy	2.34	10780	200663	53731
B82	Anaemia other/unspecified	K71	Rheumatic fever/heart disease	1.84	3708	207735	18373
B82	Anaemia other/unspecified	K74	Ischaemic heart disease with angina	1.633	9362	202081	57507
B82	Anaemia other/unspecified	K75	Acute myocardial infarction	1.615	10290	201153	71254
B82	Anaemia other/unspecified	K76	Ischaemic heart disease without angina	1.748	18055	193388	105951
B82	Anaemia other/unspecified	K77	Heart failure	2.1	26518	184925	101775
B82	Anaemia other/unspecified	K78	Atrial fibrillation/flutter	1.638	33905	177538	181667
B82	Anaemia other/unspecified	K81	Heart/arterial murmur not otherwise specified	1.655	5837	205606	40968
B82	Anaemia other/unspecified	K82	Pulmonary heart disease	2.316	3290	208153	12166
B82	Anaemia other/unspecified	K83	Heart valve disease not otherwise specified	1.829	19331	192112	102476
B82	Anaemia other/unspecified	K87	Hypertension complicated	1.659	9489	201954	57444
K88	Postural hypotension	B82	Anaemia other/unspecified	1.62	1228	210215	9907
B82	Anaemia other/unspecified	K91	Cerebrovascular disease	1.565	6274	205169	37666
B82	Anaemia other/unspecified	K92	Atherosclerosis/PVD	1.857	17983	193460	110066
B82	Anaemia other/unspecified	L88	Rheumatoid/seropositive arthritis	1.63	3985	207458	29480
N18	Paralysis/weakness	B82	Anaemia other/unspecified	2.049	467	210976	3485
B82	Anaemia other/unspecified	N94	Peripheral neuritis/neuropathy	1.682	9230	202213	76069
B82	Anaemia other/unspecified	N99	Neurological disease, other	1.538	2190	209253	16068
B82	Anaemia other/unspecified	P71	Organic psychosis other	1.584	13331	198112	70257
B82	Anaemia other/unspecified	T90	Diabetes non-insulin dependent	1.725	63763	147680	475967
B82	Anaemia other/unspecified	T92	Gout	1.622	12992	198451	107424
B82	Anaemia other/unspecified	T99	Endocrine/metabolic/nutrition disease, other	1.599	34780	176663	302231
B82	Anaemia other/unspecified	U75	Malignant neoplasm of kidney	1.625	1523	209920	10974
B82	Anaemia other/unspecified	U76	Malignant neoplasm of bladder	1.549	4451	206992	31050
B82	Anaemia other/unspecified	U88	Glomerulonephritis/nephrosis	2.119	4681	206762	23944
B82	Anaemia other/unspecified	U99	Urinary disease, other	1.714	3000	208443	21336
B82	Anaemia other/unspecified	U99.01	Chronic renal failure	3.055	58137	153306	211979
B82	Anaemia other/unspecified	Y77	Malignant neoplasm prostate	1.772	7583	203860	47628
B83	Purpura/coagulation defect	B90	HIV-infection/aids	1.562	505	60460	18408
B83	Purpura/coagulation defect	D72	Viral hepatitis	2.954	3655	57310	64040
B83	Purpura/coagulation defect	D77	Malignant neoplasm digest other/not otherwise specified	2.106	1083	59882	21901
B83	Purpura/coagulation defect	D97	Liver disease not otherwise specified	2.228	8221	52744	199381
B83	Purpura/coagulation defect	D99	Disease digestive system, other	1.532	844	60121	25647
B83	Purpura/coagulation defect	K71	Rheumatic fever/heart disease	1.713	828	60137	21253
B83	Purpura/coagulation defect	K73	Congenital anomaly cardiovascular	1.68	225	60740	7252
B83	Purpura/coagulation defect	K78	Atrial fibrillation/flutter	1.598	7617	53348	207955
B83	Purpura/coagulation defect	K82	Pulmonary heart disease	1.902	683	60282	14773
B83	Purpura/coagulation defect	K83	Heart valve disease not otherwise specified	1.629	4345	56620	117462
K88	Postural hypotension	B83	Purpura/coagulation defect	1.62	352	60613	10783
K93	Pulmonary embolism	B83	Purpura/coagulation defect	2.101	1022	59943	21118
B83	Purpura/coagulation defect	K94	Phlebitis/thrombophlebitis	2.119	3509	57456	79471
B83	Purpura/coagulation defect	K94.02	Phlebitis/thrombophlebitis low limb deep	2.451	863	60102	15934
B83	Purpura/coagulation defect	N99	Neurological disease, other	1.823	711	60254	17547
B83	Purpura/coagulation defect	T80	Congenital anomaly endocrine/metab.	1.595	524	60441	17026
B83	Purpura/coagulation defect	YX15	Infertility	1.639	788	60177	35955
B90	HIV-infection/aids	D72	Viral hepatitis	21.374	6313	12600	61382
B90	HIV-infection/aids	D75	Malignant neoplasm colon/rectum	1.538	268	18645	62026
B90	HIV-infection/aids	D77	Malignant neoplasm digest other/not otherwise specified	2.84	260	18653	22724
B90	HIV-infection/aids	K82	Pulmonary heart disease	3.11	99	18814	15357
K93	Pulmonary embolism	B90	HIV-infection/aids	1.674	122	18791	22018
B90	HIV-infection/aids	L95	Osteoporosis	1.925	671	18242	272581
B90	HIV-infection/aids	N73	Neurological infection other	15.598	97	18816	919
B90	HIV-infection/aids	N88	Epilepsy	1.788	584	18329	49328
B90	HIV-infection/aids	N99	Neurological disease, other	2.242	188	18725	18070
B90	HIV-infection/aids	P19	Drug abuse	12.462	1003	17910	5895
B90	HIV-infection/aids	P71	Organic psychosis other	1.607	283	18630	83305
B90	HIV-infection/aids	P72	Schizophrenia	1.519	421	18492	30025
B90	HIV-infection/aids	P76	Depressive disorder	1.595	3691	15222	515396
B90	HIV-infection/aids	P80	Personality disorder	2.02	634	18279	34138
B90	HIV-infection/aids	P98	Psychosis not otherwise specified/other	1.88	316	18597	19806
B90	HIV-infection/aids	R84	Malignant neoplasm bronchus/lung	1.535	191	18722	30591
B90	HIV-infection/aids	R85	Malignant neoplasm respiratory, other	1.923	90	18823	9628
B90	HIV-infection/aids	R95	Chronic obstructive pulmonary disease	1.678	1205	17708	207067
B90	HIV-infection/aids	X75	Malignant neoplasm cervix	7.958	113	18800	5085
D72	Viral hepatitis	D77	Malignant neoplasm digest other/not otherwise specified	8.167	3505	64190	19479
D72	Viral hepatitis	D97	Liver disease not otherwise specified	3.528	13428	54267	194174
D72	Viral hepatitis	D98	Cholecystitis/cholelithiasis	1.9	8319	59376	220351
D72	Viral hepatitis	D99	Disease digestive system, other	1.511	857	66838	25634
D72	Viral hepatitis	K71	Rheumatic fever/heart disease	1.644	723	66972	21358
D72	Viral hepatitis	K82	Pulmonary heart disease	1.609	521	67174	14935
D72	Viral hepatitis	L95	Osteoporosis	1.612	7056	60639	266196
N18	Paralysis/weakness	D72	Viral hepatitis	1.561	142	67553	3810
D72	Viral hepatitis	N73	Neurological infection other	3.334	73	67622	943
D72	Viral hepatitis	N99	Neurological disease, other	2.555	991	66704	17267
D72	Viral hepatitis	P15	Chronic alcohol abuse	2.295	7711	59984	141208
D72	Viral hepatitis	P19	Drug abuse	19.67	2169	65526	4729
D72	Viral hepatitis	P72	Schizophrenia	2.072	1400	66295	29046
D72	Viral hepatitis	P80	Personality disorder	2.245	1668	66027	33104
D72	Viral hepatitis	P98	Psychosis not otherwise specified/other	2.135	917	66778	19205
D72	Viral hepatitis	X75	Malignant neoplasm cervix	2.1	190	67505	5008
D74	Malignant neoplasm stomach	D77	Malignant neoplasm digest other/not otherwise specified	2.665	308	9641	22676
D74	Malignant neoplasm stomach	D86	Peptic ulcer other	3.686	802	9147	50285
D74	Malignant neoplasm stomach	D99	Disease digestive system, other	1.612	172	9777	26319
D74	Malignant neoplasm stomach	K93	Pulmonary embolism	2.076	224	9725	21916
D74	Malignant neoplasm stomach	X77	Malignant neoplasm female genital other	1.847	103	9846	18031
D75	Malignant neoplasm colon/rectum	D77	Malignant neoplasm digest other/not otherwise specified	1.735	1230	61064	21754
K93	Pulmonary embolism	D75	Malignant neoplasm colon/rectum	1.956	1270	61024	20870
D75	Malignant neoplasm colon/rectum	K94.02	Phlebitis/thrombophlebitis low limb deep	1.76	785	61509	16012
D75	Malignant neoplasm colon/rectum	X75	Malignant neoplasm cervix	1.834	139	62155	5059
D75	Malignant neoplasm colon/rectum	X77	Malignant neoplasm female genital other	1.977	707	61587	17427
D76	Malignant neoplasm pancreas	D77	Malignant neoplasm digest other/not otherwise specified	2.941	238	7350	22746
D76	Malignant neoplasm pancreas	D98	Cholecystitis/cholelithiasis	1.821	1128	6460	227542
D76	Malignant neoplasm pancreas	D99	Disease digestive system, other	5.72	425	7163	26066
K93	Pulmonary embolism	D76	Malignant neoplasm pancreas	2.346	182	7406	21958
D76	Malignant neoplasm pancreas	K94	Phlebitis/thrombophlebitis	1.557	398	7190	82582
D76	Malignant neoplasm pancreas	K94.02	Phlebitis/thrombophlebitis low limb deep	2.87	154	7434	16643
D76	Malignant neoplasm pancreas	T89	Diabetes insulin dependent	4.01	164	7424	20883
D76	Malignant neoplasm pancreas	T90	Diabetes non-insulin dependent	2.423	3296	4292	536434
D76	Malignant neoplasm pancreas	U75	Malignant neoplasm of kidney	1.941	86	7502	12411
D76	Malignant neoplasm pancreas	X77	Malignant neoplasm female genital other	1.857	93	7495	18041
D77	Malignant neoplasm digest other/not otherwise specified	D97	Liver disease not otherwise specified	3.989	5284	17700	202318
D77	Malignant neoplasm digest other/not otherwise specified	D98	Cholecystitis/cholelithiasis	1.744	3083	19901	225587
D77	Malignant neoplasm digest other/not otherwise specified	D99	Disease digestive system, other	1.879	435	22549	26056
K93	Pulmonary embolism	D77	Malignant neoplasm digest other/not otherwise specified	1.618	363	22621	21777
L71	Malignant neoplasm musculoskeletal	D77	Malignant neoplasm digest other/not otherwise specified	2.449	74	22910	3628
D77	Malignant neoplasm digest other/not otherwise specified	N99	Neurological disease, other	2.398	406	22578	17852
D77	Malignant neoplasm digest other/not otherwise specified	P15	Chronic alcohol abuse	2.803	3122	19862	145797
D77	Malignant neoplasm digest other/not otherwise specified	P19	Drug abuse	2.338	62	22922	6836
D77	Malignant neoplasm digest other/not otherwise specified	R84	Malignant neoplasm bronchus/lung	2.002	776	22208	30006
D77	Malignant neoplasm digest other/not otherwise specified	R85	Malignant neoplasm respiratory, other	4.908	579	22405	9139
D77	Malignant neoplasm digest other/not otherwise specified	X76	Malignant neoplasm breast female	1.671	657	22327	69373
D77	Malignant neoplasm digest other/not otherwise specified	X77	Malignant neoplasm female genital other	1.879	203	22781	17931
D84	Oesophagus disease	D85	Duodenal ulcer	1.596	7802	251200	52662
D84	Oesophagus disease	D92	Diverticular disease	1.895	20379	238623	114882
D84	Oesophagus disease	D93	Irritable bowel syndrome	1.946	7521	251481	43914
D84	Oesophagus disease	D97	Liver disease not otherwise specified	1.52	25627	233375	181975
D84	Oesophagus disease	D99	Disease digestive system, other	1.624	3452	255550	23039
D84	Oesophagus disease	D99.01	Coeliac disease	1.5	1028	257974	8198
D84	Oesophagus disease	L86/84/83	Neck/Back syndrome	1.525	51991	207011	381330
P75	Somatization disorder	D84	Oesophagus disease	1.894	2486	256516	15139
D84	Oesophagus disease	P78	Neuraesthenia/surmenage	1.831	357	258645	2138
D85	Duodenal ulcer	D86	Peptic ulcer other	2.61	3117	57347	47970
D85	Duodenal ulcer	D92	Diverticular disease	1.579	4837	55627	130424
D85	Duodenal ulcer	D93	Irritable bowel syndrome	1.548	1221	59243	50214
D85	Duodenal ulcer	D98	Cholecystitis/cholelithiasis	1.524	6758	53706	221912
D85	Duodenal ulcer	D99	Disease digestive system, other	1.955	1104	59360	25387
P75	Somatization disorder	D85	Duodenal ulcer	1.536	417	60047	17208
D86	Peptic ulcer other	D92	Diverticular disease	1.58	4135	46952	131126
D86	Peptic ulcer other	D98	Cholecystitis/cholelithiasis	1.58	6041	45046	222629
D86	Peptic ulcer other	D99	Disease digestive system, other	2.154	1029	50058	25462
D86	Peptic ulcer other	P15	Chronic alcohol abuse	1.599	4210	46877	144709
D86	Peptic ulcer other	R85	Malignant neoplasm respiratory, other	1.516	366	50721	9352
D92	Diverticular disease	D93	Irritable bowel syndrome	3.227	5623	129638	45812
D92	Diverticular disease	D94	Chronic enteritis/ulcerative colitis	2.151	1920	133341	23259
D92	Diverticular disease	D97	Liver disease not otherwise specified	1.849	15680	119581	191922
D92	Diverticular disease	D98	Cholecystitis/cholelithiasis	1.898	20106	115155	208564
D92	Diverticular disease	D99	Disease digestive system, other	2.84	3444	131817	23047
D92	Diverticular disease	D99.01	Coeliac disease	1.725	410	134851	8816
D92	Diverticular disease	F84	Macular degeneration	1.524	3145	132116	27685
D92	Diverticular disease	H84	Presbyacusis	1.696	1171	134090	9712
D92	Diverticular disease	K83	Heart valve disease not otherwise specified	1.564	11421	123840	110386
D92	Diverticular disease	K87	Hypertension complicated	1.561	6287	128974	60646
D92	Diverticular disease	L84	Back syndrome without radiating pain	1.552	1728	133533	23408
D92	Diverticular disease	L86/84/83	Neck/Back syndrome	1.649	30732	104529	402589
D92	Diverticular disease	L89	Osteoarthrosis of hip	1.507	11053	124208	112875
D92	Diverticular disease	L95	Osteoporosis	1.526	24139	111122	249113
D92	Diverticular disease	L99	Musculoskeletal disease, other	1.561	6984	128277	88283
D92	Diverticular disease	N92	Trigeminal neuralgia	1.525	1163	134098	14851
P75	Somatization disorder	D92	Diverticular disease	1.832	1097	134164	16528
D92	Diverticular disease	R99	Respiratory disease other	1.591	9265	125996	103480
D92	Diverticular disease	U75	Malignant neoplasm of kidney	1.584	1107	134154	11390
D92	Diverticular disease	U99	Urinary disease, other	1.562	1931	133330	22405
D92	Diverticular disease	Y85	Benign prostatic hypertrophy	1.65	25002	110259	280203
